idbase,ponderador,variable,value,index,raw_value
2064.0,1.217562046721443,sexo,Hombre,2613,2
1733.0,0.8455146423265579,sexo,Mujer,2612,1
2316.0,0.9519198893262194,sexo,Hombre,2613,2
2167.0,0.8689247454382582,sexo,Mujer,2612,1
2128.0,1.1847591449646682,sexo,Hombre,2613,2
2255.0,1.1847591449646682,sexo,Hombre,2613,2
2019.0,1.217562046721443,sexo,Hombre,2613,2
2330.0,1.1847591449646682,sexo,Hombre,2613,2
2037.0,0.8689247454382582,sexo,Mujer,2612,1
1674.0,0.9616766678135391,sexo,Hombre,2613,2
2258.0,1.2099187387061097,sexo,Hombre,2613,2
2371.0,0.8455146423265579,sexo,Mujer,2612,1
2295.0,0.8689247454382582,sexo,Mujer,2612,1
2299.0,0.8455146423265579,sexo,Mujer,2612,1
612.0,1.1847591449646682,sexo,Hombre,2613,2
2088.0,0.9357676922988913,sexo,Hombre,2613,2
2355.0,0.8455146423265579,sexo,Mujer,2612,1
2067.0,0.8689247454382582,sexo,Mujer,2612,1
2279.0,1.217562046721443,sexo,Hombre,2613,2
131.0,0.9408026489069816,sexo,Mujer,2612,1
1719.0,0.8689247454382582,sexo,Mujer,2612,1
2014.0,1.217562046721443,sexo,Hombre,2613,2
2310.0,0.8455146423265579,sexo,Mujer,2612,1
2336.0,0.8689247454382582,sexo,Mujer,2612,1
1177.0,1.217562046721443,sexo,Hombre,2613,2
2373.0,0.8634700259113033,sexo,Mujer,2612,1
2135.0,0.8634700259113033,sexo,Mujer,2612,1
2243.0,0.8455146423265579,sexo,Mujer,2612,1
2229.0,1.1847591449646682,sexo,Hombre,2613,2
991.0,1.423894482151761,sexo,Hombre,2613,2
2318.0,1.2099187387061097,sexo,Hombre,2613,2
2361.0,1.217562046721443,sexo,Hombre,2613,2
2173.0,1.1847591449646682,sexo,Hombre,2613,2
1610.0,1.217562046721443,sexo,Hombre,2613,2
1615.0,0.8689247454382582,sexo,Mujer,2612,1
1760.0,0.8455146423265579,sexo,Mujer,2612,1
2179.0,1.3182794077137172,sexo,Hombre,2613,2
2319.0,0.8634700259113033,sexo,Mujer,2612,1
2333.0,0.8689247454382582,sexo,Mujer,2612,1
1621.0,0.8689247454382582,sexo,Mujer,2612,1
1734.0,0.6678195218138128,sexo,Mujer,2612,1
2217.0,0.6863097088348782,sexo,Mujer,2612,1
2269.0,0.8634700259113033,sexo,Mujer,2612,1
2146.0,0.9556396933504712,sexo,Hombre,2613,2
2249.0,1.1847591449646682,sexo,Hombre,2613,2
2158.0,1.423894482151761,sexo,Hombre,2613,2
2308.0,1.1847591449646682,sexo,Hombre,2613,2
291.0,1.217562046721443,sexo,Hombre,2613,2
2335.0,0.8689247454382582,sexo,Mujer,2612,1
988.0,1.423894482151761,sexo,Hombre,2613,2
2204.0,0.8689247454382582,sexo,Mujer,2612,1
255.0,1.217562046721443,sexo,Hombre,2613,2
1972.0,1.6690505525687327,sexo,Hombre,2613,2
2138.0,0.8634700259113033,sexo,Mujer,2612,1
1043.0,1.3182794077137172,sexo,Hombre,2613,2
1673.0,0.6863097088348782,sexo,Mujer,2612,1
2365.0,1.2099187387061097,sexo,Hombre,2613,2
1999.0,1.217562046721443,sexo,Hombre,2613,2
2027.0,1.217562046721443,sexo,Hombre,2613,2
2350.0,1.6690505525687327,sexo,Hombre,2613,2
2357.0,0.8689247454382582,sexo,Mujer,2612,1
2358.0,0.9782760772000166,sexo,Hombre,2613,2
2188.0,0.6863097088348782,sexo,Mujer,2612,1
2106.0,1.1847591449646682,sexo,Hombre,2613,2
2342.0,0.8455146423265579,sexo,Mujer,2612,1
2023.0,1.217562046721443,sexo,Hombre,2613,2
2152.0,1.2099187387061097,sexo,Hombre,2613,2
2259.0,0.8634700259113033,sexo,Mujer,2612,1
2369.0,0.9357676922988913,sexo,Hombre,2613,2
2130.0,0.8455146423265579,sexo,Mujer,2612,1
2290.0,1.217562046721443,sexo,Hombre,2613,2
2234.0,0.8455146423265579,sexo,Mujer,2612,1
2268.0,1.0161758522009203,sexo,Mujer,2612,1
2149.0,1.2099187387061097,sexo,Hombre,2613,2
2061.0,0.8689247454382582,sexo,Mujer,2612,1
2172.0,1.217562046721443,sexo,Hombre,2613,2
2183.0,1.217562046721443,sexo,Hombre,2613,2
2266.0,1.0161758522009203,sexo,Mujer,2612,1
1283.0,1.1847591449646682,sexo,Hombre,2613,2
2275.0,0.9616766678135391,sexo,Hombre,2613,2
1824.0,1.1847591449646682,sexo,Hombre,2613,2
2216.0,1.217562046721443,sexo,Hombre,2613,2
1988.0,1.217562046721443,sexo,Hombre,2613,2
2202.0,0.8689247454382582,sexo,Mujer,2612,1
2224.0,1.217562046721443,sexo,Hombre,2613,2
2332.0,0.9570417538408629,sexo,Mujer,2612,1
1119.0,0.8689247454382582,sexo,Mujer,2612,1
1541.0,1.3182794077137172,sexo,Hombre,2613,2
2013.0,1.217562046721443,sexo,Hombre,2613,2
2362.0,1.217562046721443,sexo,Hombre,2613,2
2117.0,0.8455146423265579,sexo,Mujer,2612,1
2105.0,0.8455146423265579,sexo,Mujer,2612,1
2286.0,1.217562046721443,sexo,Hombre,2613,2
849.0,1.2099187387061097,sexo,Hombre,2613,2
1690.0,1.217562046721443,sexo,Hombre,2613,2
2356.0,0.8455146423265579,sexo,Mujer,2612,1
1128.0,0.8689247454382582,sexo,Mujer,2612,1
1959.0,1.217562046721443,sexo,Hombre,2613,2
2317.0,0.8455146423265579,sexo,Mujer,2612,1
2298.0,0.8455146423265579,sexo,Mujer,2612,1
2301.0,0.8455146423265579,sexo,Mujer,2612,1
2337.0,1.217562046721443,sexo,Hombre,2613,2
2343.0,1.1847591449646682,sexo,Hombre,2613,2
2288.0,1.217562046721443,sexo,Hombre,2613,2
2115.0,1.1847591449646682,sexo,Hombre,2613,2
1961.0,1.217562046721443,sexo,Hombre,2613,2
2207.0,0.8689247454382582,sexo,Mujer,2612,1
2331.0,1.191133815660212,sexo,Mujer,2612,1
2213.0,0.8689247454382582,sexo,Mujer,2612,1
1747.0,0.8455146423265579,sexo,Mujer,2612,1
2282.0,0.8689247454382582,sexo,Mujer,2612,1
727.0,0.8455146423265579,sexo,Mujer,2612,1
1675.0,0.6863097088348782,sexo,Mujer,2612,1
2045.0,1.217562046721443,sexo,Hombre,2613,2
2017.0,0.8689247454382582,sexo,Mujer,2612,1
2178.0,1.191133815660212,sexo,Mujer,2612,1
2352.0,1.6690505525687327,sexo,Hombre,2613,2
2306.0,0.9357676922988913,sexo,Hombre,2613,2
2264.0,1.2099187387061097,sexo,Hombre,2613,2
2341.0,0.8455146423265579,sexo,Mujer,2612,1
806.0,0.9357676922988913,sexo,Hombre,2613,2
2291.0,0.6863097088348782,sexo,Mujer,2612,1
2320.0,0.8634700259113033,sexo,Mujer,2612,1
1728.0,0.8455146423265579,sexo,Mujer,2612,1
53.0,0.9408026489069816,sexo,Mujer,2612,1
