idbase,ponderador,variable,value,sort_value
2121.0,0.6678195218138128,sexo,Mujer,2.0
269.0,0.9616766678135392,sexo,Hombre,1.0
1891.0,0.8634700259113033,sexo,Mujer,2.0
1584.0,1.217562046721443,sexo,Hombre,1.0
2063.0,1.217562046721443,sexo,Hombre,1.0
2315.0,1.1847591449646682,sexo,Hombre,1.0
2256.0,0.9357676922988912,sexo,Hombre,1.0
2311.0,1.1847591449646682,sexo,Hombre,1.0
423.0,0.6863097088348782,sexo,Mujer,2.0
742.0,0.6678195218138128,sexo,Mujer,2.0
682.0,1.1847591449646682,sexo,Hombre,1.0
2062.0,1.217562046721443,sexo,Hombre,1.0
1567.0,1.217562046721443,sexo,Hombre,1.0
2304.0,0.8455146423265579,sexo,Mujer,2.0
2386.0,1.1847591449646682,sexo,Hombre,1.0
372.0,1.217562046721443,sexo,Hombre,1.0
1618.0,1.217562046721443,sexo,Hombre,1.0
2233.0,1.1847591449646682,sexo,Hombre,1.0
2381.0,0.8689247454382582,sexo,Mujer,2.0
1994.0,0.8689247454382582,sexo,Mujer,2.0
2087.0,1.1847591449646682,sexo,Hombre,1.0
1986.0,1.217562046721443,sexo,Hombre,1.0
2018.0,0.8689247454382582,sexo,Mujer,2.0
1548.0,1.217562046721443,sexo,Hombre,1.0
1995.0,0.8689247454382582,sexo,Mujer,2.0
2012.0,1.217562046721443,sexo,Hombre,1.0
829.0,1.2099187387061097,sexo,Hombre,1.0
879.0,1.2099187387061097,sexo,Hombre,1.0
1065.0,0.6863097088348782,sexo,Mujer,2.0
645.0,0.6678195218138128,sexo,Mujer,2.0
832.0,0.9556396933504712,sexo,Hombre,1.0
1295.0,0.8455146423265579,sexo,Mujer,2.0
1388.0,0.9357676922988912,sexo,Hombre,1.0
1882.0,0.8634700259113033,sexo,Mujer,2.0
1950.0,1.1847591449646682,sexo,Hombre,1.0
2244.0,0.6678195218138128,sexo,Mujer,2.0
609.0,0.6678195218138128,sexo,Mujer,2.0
652.0,0.9357676922988912,sexo,Hombre,1.0
1278.0,0.8455146423265579,sexo,Mujer,2.0
1572.0,0.6863097088348782,sexo,Mujer,2.0
1686.0,1.217562046721443,sexo,Hombre,1.0
2039.0,0.8689247454382582,sexo,Mujer,2.0
817.0,0.9357676922988912,sexo,Hombre,1.0
823.0,1.2099187387061097,sexo,Hombre,1.0
869.0,0.9556396933504712,sexo,Hombre,1.0
1130.0,1.217562046721443,sexo,Hombre,1.0
1227.0,1.217562046721443,sexo,Hombre,1.0
1566.0,0.8689247454382582,sexo,Mujer,2.0
1819.0,0.8455146423265579,sexo,Mujer,2.0
1935.0,0.8026142159149764,sexo,Mujer,2.0
1992.0,1.217562046721443,sexo,Hombre,1.0
2034.0,0.8689247454382582,sexo,Mujer,2.0
2198.0,1.217562046721443,sexo,Hombre,1.0
458.0,0.8689247454382582,sexo,Mujer,2.0
790.0,0.6678195218138128,sexo,Mujer,2.0
1451.0,0.8634700259113033,sexo,Mujer,2.0
2004.0,0.8689247454382582,sexo,Mujer,2.0
2201.0,1.217562046721443,sexo,Hombre,1.0
2232.0,0.8455146423265579,sexo,Mujer,2.0
1821.0,0.9357676922988912,sexo,Hombre,1.0
880.0,1.2099187387061097,sexo,Hombre,1.0
2127.0,1.1847591449646682,sexo,Hombre,1.0
2166.0,1.423894482151761,sexo,Hombre,1.0
183.0,0.8689247454382582,sexo,Mujer,2.0
1792.0,1.1847591449646682,sexo,Hombre,1.0
2052.0,0.8689247454382582,sexo,Mujer,2.0
2197.0,1.217562046721443,sexo,Hombre,1.0
190.0,1.217562046721443,sexo,Hombre,1.0
1193.0,1.217562046721443,sexo,Hombre,1.0
1684.0,0.8689247454382582,sexo,Mujer,2.0
1658.0,1.217562046721443,sexo,Hombre,1.0
298.0,1.217562046721443,sexo,Hombre,1.0
940.0,1.2099187387061097,sexo,Hombre,1.0
1297.0,0.9357676922988912,sexo,Hombre,1.0
1748.0,1.1847591449646682,sexo,Hombre,1.0
1795.0,0.8455146423265579,sexo,Mujer,2.0
1879.0,1.2099187387061097,sexo,Hombre,1.0
1924.0,1.0161758522009203,sexo,Mujer,2.0
2084.0,0.9357676922988912,sexo,Hombre,1.0
1680.0,0.8689247454382582,sexo,Mujer,2.0
301.0,0.6863097088348782,sexo,Mujer,2.0
1865.0,0.8634700259113033,sexo,Mujer,2.0
2185.0,1.217562046721443,sexo,Hombre,1.0
2241.0,0.8455146423265579,sexo,Mujer,2.0
613.0,0.8455146423265579,sexo,Mujer,2.0
1571.0,0.6863097088348782,sexo,Mujer,2.0
1644.0,0.8689247454382582,sexo,Mujer,2.0
772.0,1.1847591449646682,sexo,Hombre,1.0
1497.0,1.1847591449646682,sexo,Hombre,1.0
1913.0,1.2099187387061097,sexo,Hombre,1.0
2168.0,1.0161758522009203,sexo,Mujer,2.0
2223.0,0.8689247454382582,sexo,Mujer,2.0
2076.0,1.1847591449646682,sexo,Hombre,1.0
2091.0,0.6793466909860374,sexo,Mujer,2.0
1450.0,1.2099187387061097,sexo,Hombre,1.0
1757.0,0.8455146423265579,sexo,Mujer,2.0
990.0,1.423894482151761,sexo,Hombre,1.0
1855.0,1.1847591449646682,sexo,Hombre,1.0
1895.0,0.9721348990956188,sexo,Hombre,1.0
1317.0,1.1847591449646682,sexo,Hombre,1.0
1775.0,0.6678195218138128,sexo,Mujer,2.0
749.0,0.6678195218138128,sexo,Mujer,2.0
1296.0,0.9357676922988912,sexo,Hombre,1.0
412.0,0.8689247454382582,sexo,Mujer,2.0
1420.0,0.8634700259113033,sexo,Mujer,2.0
1687.0,0.8689247454382582,sexo,Mujer,2.0
1100.0,1.217562046721443,sexo,Hombre,1.0
2252.0,1.1847591449646682,sexo,Hombre,1.0
1176.0,0.6981560353645274,sexo,Mujer,2.0
764.0,1.1847591449646682,sexo,Hombre,1.0
973.0,1.423894482151761,sexo,Hombre,1.0
1313.0,0.9357676922988912,sexo,Hombre,1.0
1457.0,1.2099187387061097,sexo,Hombre,1.0
1718.0,0.9616766678135392,sexo,Hombre,1.0
1735.0,0.6678195218138128,sexo,Mujer,2.0
1779.0,0.8455146423265579,sexo,Mujer,2.0
1866.0,1.2099187387061097,sexo,Hombre,1.0
1893.0,0.8634700259113033,sexo,Mujer,2.0
2058.0,0.9616766678135392,sexo,Hombre,1.0
2083.0,0.8455146423265579,sexo,Mujer,2.0
2132.0,0.8634700259113033,sexo,Mujer,2.0
2142.0,0.8634700259113033,sexo,Mujer,2.0
657.0,0.6678195218138128,sexo,Mujer,2.0
1752.0,0.8455146423265579,sexo,Mujer,2.0
1897.0,0.6820013645392717,sexo,Mujer,2.0
2065.0,1.217562046721443,sexo,Hombre,1.0
2093.0,0.9357676922988912,sexo,Hombre,1.0
1681.0,1.217562046721443,sexo,Hombre,1.0
734.0,0.9357676922988912,sexo,Hombre,1.0
1078.0,1.217562046721443,sexo,Hombre,1.0
1325.0,0.8455146423265579,sexo,Mujer,2.0
1483.0,1.0161758522009203,sexo,Mujer,2.0
1579.0,0.8689247454382582,sexo,Mujer,2.0
1679.0,1.217562046721443,sexo,Hombre,1.0
1878.0,1.2099187387061097,sexo,Hombre,1.0
2095.0,0.8455146423265579,sexo,Mujer,2.0
2163.0,1.423894482151761,sexo,Hombre,1.0
306.0,0.8689247454382582,sexo,Mujer,2.0
421.0,0.9616766678135392,sexo,Hombre,1.0
1131.0,1.217562046721443,sexo,Hombre,1.0
1178.0,0.8689247454382582,sexo,Mujer,2.0
1180.0,0.6863097088348782,sexo,Mujer,2.0
1751.0,0.9357676922988912,sexo,Hombre,1.0
1767.0,0.9357676922988912,sexo,Hombre,1.0
1831.0,1.1847591449646682,sexo,Hombre,1.0
748.0,1.1847591449646682,sexo,Hombre,1.0
1287.0,0.9357676922988912,sexo,Hombre,1.0
1435.0,0.8634700259113033,sexo,Mujer,2.0
1857.0,0.8634700259113033,sexo,Mujer,2.0
1905.0,1.2099187387061097,sexo,Hombre,1.0
2143.0,1.2099187387061097,sexo,Hombre,1.0
2265.0,1.2099187387061097,sexo,Hombre,1.0
547.0,0.8455146423265579,sexo,Mujer,2.0
1268.0,0.8455146423265579,sexo,Mujer,2.0
1386.0,1.1847591449646682,sexo,Hombre,1.0
1647.0,1.217562046721443,sexo,Hombre,1.0
1770.0,1.1847591449646682,sexo,Hombre,1.0
1802.0,0.8455146423265579,sexo,Mujer,2.0
2177.0,0.8455146423265579,sexo,Mujer,2.0
2296.0,0.9616766678135392,sexo,Hombre,1.0
381.0,1.217562046721443,sexo,Hombre,1.0
519.0,0.8689247454382582,sexo,Mujer,2.0
681.0,0.6678195218138128,sexo,Mujer,2.0
977.0,1.423894482151761,sexo,Hombre,1.0
1269.0,0.8455146423265579,sexo,Mujer,2.0
1280.0,1.1847591449646682,sexo,Hombre,1.0
1341.0,0.6678195218138128,sexo,Mujer,2.0
359.0,1.217562046721443,sexo,Hombre,1.0
1152.0,0.8689247454382582,sexo,Mujer,2.0
1701.0,0.8689247454382582,sexo,Mujer,2.0
1838.0,0.8455146423265579,sexo,Mujer,2.0
2176.0,0.8689247454382582,sexo,Mujer,2.0
7.0,0.8455146423265579,sexo,Mujer,2.0
482.0,1.217562046721443,sexo,Hombre,1.0
955.0,0.9556396933504712,sexo,Hombre,1.0
1242.0,0.8455146423265579,sexo,Mujer,2.0
1308.0,0.8455146423265579,sexo,Mujer,2.0
2276.0,0.6863097088348782,sexo,Mujer,2.0
1473.0,0.8026142159149764,sexo,Mujer,2.0
1496.0,1.2099187387061097,sexo,Hombre,1.0
1825.0,0.8455146423265579,sexo,Mujer,2.0
325.0,1.217562046721443,sexo,Hombre,1.0
1217.0,0.6863097088348782,sexo,Mujer,2.0
1263.0,0.6678195218138128,sexo,Mujer,2.0
1582.0,0.8689247454382582,sexo,Mujer,2.0
382.0,1.217562046721443,sexo,Hombre,1.0
1846.0,0.8455146423265579,sexo,Mujer,2.0
1307.0,1.1847591449646682,sexo,Hombre,1.0
852.0,0.6820013645392717,sexo,Mujer,2.0
2068.0,1.217562046721443,sexo,Hombre,1.0
448.0,0.8689247454382582,sexo,Mujer,2.0
767.0,0.8455146423265579,sexo,Mujer,2.0
827.0,0.6820013645392717,sexo,Mujer,2.0
1218.0,1.217562046721443,sexo,Hombre,1.0
1469.0,1.423894482151761,sexo,Hombre,1.0
2053.0,1.217562046721443,sexo,Hombre,1.0
2192.0,0.8689247454382582,sexo,Mujer,2.0
2194.0,0.8689247454382582,sexo,Mujer,2.0
1598.0,0.8689247454382582,sexo,Mujer,2.0
2042.0,0.8689247454382582,sexo,Mujer,2.0
2230.0,0.8455146423265579,sexo,Mujer,2.0
268.0,0.8689247454382582,sexo,Mujer,2.0
994.0,0.8689247454382582,sexo,Mujer,2.0
1504.0,0.8455146423265579,sexo,Mujer,2.0
1692.0,1.217562046721443,sexo,Hombre,1.0
1781.0,0.8455146423265579,sexo,Mujer,2.0
2077.0,0.8455146423265579,sexo,Mujer,2.0
2222.0,1.217562046721443,sexo,Hombre,1.0
175.0,0.8689247454382582,sexo,Mujer,2.0
376.0,0.8689247454382582,sexo,Mujer,2.0
418.0,0.8689247454382582,sexo,Mujer,2.0
473.0,0.6863097088348782,sexo,Mujer,2.0
892.0,0.8634700259113033,sexo,Mujer,2.0
1137.0,0.9616766678135392,sexo,Hombre,1.0
1146.0,0.8689247454382582,sexo,Mujer,2.0
1214.0,1.217562046721443,sexo,Hombre,1.0
1655.0,1.217562046721443,sexo,Hombre,1.0
1685.0,0.6863097088348782,sexo,Mujer,2.0
1996.0,0.8689247454382582,sexo,Mujer,2.0
2200.0,0.8689247454382582,sexo,Mujer,2.0
1141.0,0.6863097088348782,sexo,Mujer,2.0
2174.0,1.2099187387061097,sexo,Hombre,1.0
4.0,0.9357676922988912,sexo,Hombre,1.0
695.0,0.8455146423265579,sexo,Mujer,2.0
732.0,0.9357676922988912,sexo,Hombre,1.0
1004.0,0.6820013645392717,sexo,Mujer,2.0
1378.0,1.1847591449646682,sexo,Hombre,1.0
1382.0,1.1847591449646682,sexo,Hombre,1.0
1808.0,0.8455146423265579,sexo,Mujer,2.0
1836.0,1.1847591449646682,sexo,Hombre,1.0
1858.0,1.2099187387061097,sexo,Hombre,1.0
2124.0,0.8455146423265579,sexo,Mujer,2.0
2251.0,0.6678195218138128,sexo,Mujer,2.0
1198.0,0.6863097088348782,sexo,Mujer,2.0
2072.0,1.217562046721443,sexo,Hombre,1.0
2112.0,0.6678195218138128,sexo,Mujer,2.0
479.0,0.6863097088348782,sexo,Mujer,2.0
1001.0,1.1847591449646682,sexo,Hombre,1.0
1008.0,0.6678195218138128,sexo,Mujer,2.0
1083.0,1.217562046721443,sexo,Hombre,1.0
1175.0,0.8689247454382582,sexo,Mujer,2.0
1270.0,0.8455146423265579,sexo,Mujer,2.0
1593.0,0.9616766678135392,sexo,Hombre,1.0
1662.0,0.8689247454382582,sexo,Mujer,2.0
1794.0,0.9519198893262194,sexo,Hombre,1.0
1843.0,0.8455146423265579,sexo,Mujer,2.0
2048.0,0.6863097088348782,sexo,Mujer,2.0
2133.0,0.9556396933504712,sexo,Hombre,1.0
2210.0,0.8689247454382582,sexo,Mujer,2.0
2235.0,1.1847591449646682,sexo,Hombre,1.0
68.0,1.6690505525687327,sexo,Hombre,1.0
74.0,1.6690505525687327,sexo,Hombre,1.0
91.0,1.3182794077137172,sexo,Hombre,1.0
139.0,1.217562046721443,sexo,Hombre,1.0
173.0,0.8689247454382582,sexo,Mujer,2.0
262.0,1.217562046721443,sexo,Hombre,1.0
633.0,0.6678195218138128,sexo,Mujer,2.0
654.0,1.1847591449646682,sexo,Hombre,1.0
777.0,1.1847591449646682,sexo,Hombre,1.0
805.0,0.9357676922988912,sexo,Hombre,1.0
1020.0,1.191133815660212,sexo,Mujer,2.0
1049.0,1.191133815660212,sexo,Mujer,2.0
1087.0,0.8689247454382582,sexo,Mujer,2.0
1090.0,0.8689247454382582,sexo,Mujer,2.0
1091.0,0.8689247454382582,sexo,Mujer,2.0
1136.0,1.217562046721443,sexo,Hombre,1.0
1154.0,0.8689247454382582,sexo,Mujer,2.0
1162.0,1.217562046721443,sexo,Hombre,1.0
1225.0,0.8689247454382582,sexo,Mujer,2.0
1294.0,1.1847591449646682,sexo,Hombre,1.0
1300.0,1.1847591449646682,sexo,Hombre,1.0
1303.0,0.6678195218138128,sexo,Mujer,2.0
1352.0,0.6793466909860374,sexo,Mujer,2.0
1375.0,0.6678195218138128,sexo,Mujer,2.0
1391.0,0.6678195218138128,sexo,Mujer,2.0
1395.0,1.2099187387061097,sexo,Hombre,1.0
1455.0,1.2099187387061097,sexo,Hombre,1.0
1471.0,1.0161758522009203,sexo,Mujer,2.0
1539.0,0.9408026489069816,sexo,Mujer,2.0
1561.0,0.8689247454382582,sexo,Mujer,2.0
1636.0,1.217562046721443,sexo,Hombre,1.0
1765.0,0.9357676922988912,sexo,Hombre,1.0
1801.0,1.1847591449646682,sexo,Hombre,1.0
1837.0,1.1847591449646682,sexo,Hombre,1.0
1841.0,0.9519198893262194,sexo,Hombre,1.0
1861.0,0.8634700259113033,sexo,Mujer,2.0
1864.0,0.8634700259113033,sexo,Mujer,2.0
1869.0,0.6820013645392717,sexo,Mujer,2.0
1870.0,0.8634700259113033,sexo,Mujer,2.0
1875.0,1.2099187387061097,sexo,Hombre,1.0
1887.0,0.9556396933504712,sexo,Hombre,1.0
1892.0,1.2099187387061097,sexo,Hombre,1.0
1898.0,1.2099187387061097,sexo,Hombre,1.0
1899.0,1.2099187387061097,sexo,Hombre,1.0
2002.0,1.217562046721443,sexo,Hombre,1.0
2021.0,1.217562046721443,sexo,Hombre,1.0
2044.0,0.8689247454382582,sexo,Mujer,2.0
2071.0,1.217562046721443,sexo,Hombre,1.0
2109.0,1.1847591449646682,sexo,Hombre,1.0
2155.0,0.6820013645392717,sexo,Mujer,2.0
2280.0,0.8689247454382582,sexo,Mujer,2.0
2309.0,1.1847591449646682,sexo,Hombre,1.0
2348.0,1.2099187387061097,sexo,Hombre,1.0
100.0,0.9408026489069816,sexo,Mujer,2.0
102.0,1.191133815660212,sexo,Mujer,2.0
156.0,0.8689247454382582,sexo,Mujer,2.0
232.0,0.9616766678135392,sexo,Hombre,1.0
288.0,1.217562046721443,sexo,Hombre,1.0
383.0,0.9616766678135392,sexo,Hombre,1.0
403.0,0.6863097088348782,sexo,Mujer,2.0
568.0,0.6793466909860374,sexo,Mujer,2.0
709.0,0.6678195218138128,sexo,Mujer,2.0
