idbase,ponderador,variable,value,index,raw_value
2275.0,0.9616766678135391,sexo,Hombre,2613,2
1824.0,1.1847591449646682,sexo,Hombre,2613,2
2216.0,1.217562046721443,sexo,Hombre,2613,2
1988.0,1.217562046721443,sexo,Hombre,2613,2
2224.0,1.217562046721443,sexo,Hombre,2613,2
1541.0,1.3182794077137172,sexo,Hombre,2613,2
2013.0,1.217562046721443,sexo,Hombre,2613,2
2362.0,1.217562046721443,sexo,Hombre,2613,2
2286.0,1.217562046721443,sexo,Hombre,2613,2
849.0,1.2099187387061097,sexo,Hombre,2613,2
1690.0,1.217562046721443,sexo,Hombre,2613,2
1959.0,1.217562046721443,sexo,Hombre,2613,2
2337.0,1.217562046721443,sexo,Hombre,2613,2
2343.0,1.1847591449646682,sexo,Hombre,2613,2
2288.0,1.217562046721443,sexo,Hombre,2613,2
2115.0,1.1847591449646682,sexo,Hombre,2613,2
1961.0,1.217562046721443,sexo,Hombre,2613,2
2045.0,1.217562046721443,sexo,Hombre,2613,2
2352.0,1.6690505525687327,sexo,Hombre,2613,2
2306.0,0.9357676922988913,sexo,Hombre,2613,2
2264.0,1.2099187387061097,sexo,Hombre,2613,2
806.0,0.9357676922988913,sexo,Hombre,2613,2
1281.0,0.9519198893262194,sexo,Hombre,2613,2
1772.0,1.1847591449646682,sexo,Hombre,2613,2
1949.0,1.6690505525687327,sexo,Hombre,2613,2
2123.0,1.1847591449646682,sexo,Hombre,2613,2
2344.0,0.9357676922988913,sexo,Hombre,2613,2
1576.0,0.9616766678135391,sexo,Hombre,2613,2
2000.0,0.9616766678135391,sexo,Hombre,2613,2
2122.0,1.1847591449646682,sexo,Hombre,2613,2
2378.0,1.6690505525687327,sexo,Hombre,2613,2
2005.0,1.217562046721443,sexo,Hombre,2613,2
1188.0,0.9616766678135391,sexo,Hombre,2613,2
269.0,0.9616766678135391,sexo,Hombre,2613,2
1584.0,1.217562046721443,sexo,Hombre,2613,2
2063.0,1.217562046721443,sexo,Hombre,2613,2
2315.0,1.1847591449646682,sexo,Hombre,2613,2
